iter	Logloss
0	0.6769169473
1	0.6603061564
2	0.6469962399
3	0.6324571743
4	0.6187283559
5	0.6051568428
6	0.5957004143
7	0.5848872456
8	0.5754883464
9	0.5649729188
10	0.5549474617
11	0.5454487444
12	0.5364762254
13	0.5285046368
14	0.5215807893
15	0.5155557662
16	0.5092958633
17	0.5015626278
18	0.4955547945
19	0.4892573822
20	0.4837225568
21	0.4782926684
22	0.4728063988
23	0.4681636968
24	0.4631747284
25	0.459169386
26	0.4553649846
27	0.4519142433
28	0.4476900636
29	0.4417286052
30	0.4377887047
31	0.4343197171
32	0.4302935248
33	0.4273046569
34	0.4233910119
35	0.4204876757
36	0.4178273638
37	0.4145972061
38	0.4115366901
39	0.4084111999
40	0.4061623268
41	0.4037599138
42	0.4013205366
43	0.3981831934
44	0.3947977337
45	0.3922080794
46	0.3895864351
47	0.3868022968
48	0.3844229254
49	0.3825914771
50	0.3794391973
51	0.3775218882
52	0.3759512772
53	0.3736507795
54	0.3711650428
55	0.3687825958
56	0.3675547202
57	0.3657113366
58	0.3637362878
59	0.3617672821
60	0.3598972068
61	0.3580667143
62	0.3558174037
63	0.3546208032
64	0.3526524356
65	0.3506981221
66	0.3489619015
67	0.3465892602
68	0.3451306528
69	0.3432787062
70	0.3412136758
71	0.3405736766
72	0.3389781586
73	0.3373521747
74	0.3353267171
75	0.3336924374
76	0.3328419227
77	0.3311975504
78	0.3287597312
79	0.3274336397
80	0.3256265182
81	0.3249697488
82	0.3233084741
83	0.3217845162
84	0.32058118
85	0.3187672808
86	0.3175403855
87	0.3162175632
88	0.3146032184
89	0.3132963078
90	0.3118807954
91	0.3100514561
92	0.3090471388
93	0.307713231
94	0.3059980611
95	0.3038672241
96	0.3030877763
97	0.3016092821
98	0.3009001326
99	0.299539394
