iter	Passed	Remaining
0	6	627
1	10	516
2	15	500
3	19	461
4	23	448
5	27	430
6	32	429
7	36	414
8	39	397
9	43	387
10	46	373
11	50	367
12	53	355
13	56	344
14	60	341
15	64	336
16	67	327
17	70	318
18	73	313
19	77	309
20	80	302
21	83	295
22	86	291
23	89	284
24	93	280
25	96	273
26	99	267
27	102	262
28	105	257
29	108	254
30	111	249
31	114	244
32	117	238
33	120	233
34	123	230
35	126	225
36	129	221
37	132	216
38	136	214
39	140	210
40	142	205
41	146	202
42	149	198
43	151	193
44	154	188
45	156	183
46	158	178
47	160	173
48	162	169
49	165	165
50	167	160
51	170	157
52	173	153
53	176	150
54	179	146
55	182	143
56	185	139
57	188	136
58	191	133
59	194	129
60	197	126
61	200	122
62	203	119
63	206	116
64	209	112
65	212	109
66	215	106
67	218	102
68	221	99
69	224	96
70	227	92
71	230	89
72	232	86
73	235	82
74	237	79
75	240	76
76	243	72
77	247	69
78	249	66
79	252	63
80	255	59
81	258	56
82	261	53
83	264	50
84	267	47
85	270	44
86	273	40
87	276	37
88	279	34
89	282	31
90	285	28
91	288	25
92	291	21
93	293	18
94	296	15
95	299	12
96	302	9
97	305	6
98	308	3
99	311	0
